,energy,epe
0,531.69666,12.691622
1,530.3272,12.720885
2,529.562,12.701518
3,529.33746,12.711107
4,528.64154,12.707743
5,528.26355,12.715988
6,527.1066,12.710587
7,527.1369,12.712993
8,526.37805,12.706572
9,524.02094,12.716634
10,525.98425,12.704577
11,521.5199,12.713331
12,519.2193,12.72547
13,514.6425,12.717549
14,510.19113,12.71341
15,508.95947,12.733904
16,509.3632,12.741045
17,504.57883,12.713983
18,504.36823,12.726954
19,500.72324,12.687816
20,498.4956,12.695119
21,494.3087,12.680746
22,493.76788,12.697518
23,494.8981,12.668335
24,496.24478,12.681964
25,490.6553,12.661504
26,488.8204,12.650322
27,487.64926,12.674066
28,489.86816,12.639541
29,493.93954,12.676588
30,489.07764,12.643333
31,483.66574,12.627592
32,478.10553,12.611548
33,477.889,12.58524
34,483.54736,12.617828
35,484.6132,12.631136
36,480.419,12.602373
37,477.66748,12.608041
38,474.55875,12.585228
39,471.0893,12.54936
40,475.1946,12.539528
41,474.85693,12.568318
42,472.78632,12.575544
43,467.14508,12.566526
44,470.3591,12.556813
45,469.2193,12.56527
46,471.29184,12.537909
47,470.46616,12.594314
48,468.52463,12.534093
49,463.5945,12.558199
50,460.3286,12.497796
51,452.43213,12.461563
52,451.46722,12.3861475
53,454.98706,12.4354725
54,451.90723,12.434464
55,446.53836,12.415246
56,442.29233,12.363435
57,442.75488,12.383223
58,439.70132,12.349483
59,436.20596,12.288435
60,436.74106,12.280455
61,437.2028,12.304016
62,434.97415,12.332506
63,447.82187,12.295516
64,453.82172,12.386027
65,488.4056,12.5021715
66,505.91922,12.653134
67,484.9285,12.600261
68,473.02652,12.528474
69,464.40558,12.532966
70,455.91196,12.463756
71,448.4116,12.448142
72,444.73026,12.358017
73,438.45364,12.327031
74,438.14825,12.380586
75,434.74777,12.290518
76,430.59207,12.284997
77,427.86237,12.266882
78,423.8521,12.157676
79,422.44864,12.1693945
80,419.8619,12.135468
81,417.4175,12.163103
82,417.69217,12.133828
83,416.12744,12.109422
84,414.6271,12.083167
85,411.97583,12.051801
86,411.92307,12.088814
87,407.61124,12.019369
88,409.6351,11.977691
89,408.1845,11.937716
90,412.96783,12.052856
91,407.7678,12.0869055
92,403.70367,11.971556
93,403.26874,11.920965
94,408.10394,11.99985
95,405.16928,12.059965
96,403.61252,11.958217
97,406.70926,11.941053
98,407.91287,12.013616
99,408.30112,12.019893
100,402.61884,11.952532
101,404.32446,11.93458
102,403.32883,11.920488
103,401.37018,11.926499
104,401.23248,11.903153
105,397.0843,11.890845
106,395.91843,11.82794
107,394.06125,11.855796
108,395.3344,11.8411
109,392.3333,11.812533
110,392.8685,11.846857
111,393.10532,11.813752
112,393.22885,11.802927
113,396.5395,11.844783
114,396.70465,11.81904
115,393.51898,11.880992
116,391.6206,11.820204
117,389.2233,11.787493
118,394.15277,11.810389
119,394.38803,11.802061
120,389.44077,11.777938
121,388.64188,11.764267
122,391.66263,11.777181
123,390.46173,11.807977
124,391.23273,11.763179
125,391.7919,11.807475
126,392.49234,11.771403
127,391.68283,11.765315
128,397.56253,11.88385
129,397.66635,11.958633
130,394.36768,11.799957
131,392.98676,11.844321
132,392.78494,11.845443
133,390.5978,11.796853
134,387.01828,11.768245
135,384.31787,11.728033
136,382.65543,11.70147
137,382.30783,11.680814
138,382.36313,11.646204
139,382.72055,11.667399
140,382.5197,11.6621
141,380.7627,11.692483
142,379.5086,11.678599
143,379.69482,11.659137
144,379.28152,11.623855
145,384.26938,11.594142
146,383.561,11.731855
147,380.16113,11.714513
148,386.40875,11.734096
149,384.30435,11.668261
150,384.83276,11.661947
151,384.43903,11.75827
152,379.05716,11.667374
153,377.83038,11.631852
154,375.7316,11.576151
155,375.3918,11.567873
156,376.7695,11.656822
157,374.9066,11.571506
158,377.33237,11.573096
159,378.88275,11.5911665
160,379.757,11.52522
161,387.94965,11.797658
162,387.5507,11.79376
163,379.45117,11.668123
164,380.78128,11.675779
165,374.48648,11.575287
166,373.9589,11.578779
167,372.88742,11.532741
168,373.03006,11.514169
