,energy,epe
0,533.94574,12.671481
1,532.0854,12.716893
2,530.444,12.697311
3,529.39557,12.708047
4,528.84045,12.718069
5,531.22906,12.724528
6,528.44574,12.69782
7,529.59656,12.715236
8,528.81525,12.710876
9,528.9511,12.719514
10,528.1895,12.703203
11,528.31647,12.720794
12,527.35535,12.710222
13,527.5653,12.721849
14,526.4845,12.704025
15,525.7659,12.720464
16,526.6381,12.71136
17,525.658,12.718382
18,524.3747,12.714334
19,525.4826,12.718749
20,524.11505,12.710035
21,523.56067,12.714681
22,522.8046,12.712366
23,521.65497,12.710923
24,522.91327,12.716056
25,522.1644,12.716459
26,521.0715,12.70543
27,522.05,12.721572
28,520.56537,12.710263
29,520.0832,12.720592
30,521.7574,12.728984
31,521.2813,12.697669
32,521.1973,12.70446
33,521.8044,12.714362
34,520.92456,12.704435
35,521.12964,12.732369
36,519.45197,12.70635
37,518.96234,12.714412
38,517.9789,12.713409
39,518.5846,12.708045
40,517.3483,12.711741
41,518.1188,12.720404
42,517.9704,12.69684
43,517.8873,12.720175
44,516.0267,12.709237
45,515.42615,12.71296
46,514.0585,12.698358
47,522.72833,12.676729
48,525.0595,12.695267
49,522.6248,12.69349
50,522.7218,12.725662
51,519.69275,12.72088
52,518.75183,12.7173395
53,516.9461,12.7105
54,516.61536,12.715657
55,515.4183,12.715104
56,515.42505,12.716856
57,516.22864,12.710313
58,517.9772,12.708483
59,516.4539,12.713138
60,515.22754,12.720246
61,513.597,12.714505
62,513.15326,12.712822
63,512.1639,12.713392
64,512.2543,12.712936
65,511.7648,12.703702
66,510.70932,12.719988
67,510.61105,12.701143
68,511.75482,12.711606
69,513.099,12.694377
70,512.3202,12.698934
71,510.4934,12.709388
72,509.05377,12.718573
73,508.5565,12.692206
74,508.53278,12.698281
75,508.00262,12.696352
76,506.96756,12.706052
77,507.1149,12.692641
78,508.6197,12.674765
79,508.8879,12.700365
80,505.88278,12.683213
81,505.78314,12.696465
82,505.3691,12.695295
83,506.53165,12.689174
84,506.71323,12.694831
85,505.5555,12.696113
86,504.04904,12.681451
87,501.368,12.66314
88,499.86313,12.660204
89,497.90094,12.57559
90,495.59082,12.523429
91,494.68698,12.522806
92,502.37088,12.5153
93,506.23853,12.608545
94,502.72662,12.599058
95,506.67746,12.599174
96,501.94672,12.600577
97,498.83078,12.509229
98,497.0065,12.478151
99,496.48856,12.550542
100,497.12054,12.539685
101,496.83005,12.573712
102,492.83524,12.556801
103,489.4728,12.446605
104,491.1478,12.491743
105,499.70865,12.5514965
106,504.14322,12.604912
107,499.6428,12.559286
108,498.04428,12.537753
109,497.53314,12.559677
110,493.37695,12.5209055
111,488.6369,12.474357
112,489.80963,12.488012
113,490.20703,12.485057
114,491.71234,12.552696
115,487.32358,12.466851
116,487.58838,12.45736
117,488.77716,12.514349
118,490.74286,12.448085
119,485.08936,12.445836
120,485.70648,12.460511
121,482.64264,12.447661
122,481.33536,12.409088
123,480.3503,12.370026
124,484.0005,12.481252
125,482.61057,12.355759
126,483.92368,12.470368
127,481.27054,12.400493
128,481.6338,12.458537
129,477.9357,12.366406
130,477.63986,12.388021
131,480.98923,12.495436
132,480.09116,12.384479
133,484.78302,12.42237
134,482.3456,12.432436
135,484.2512,12.484177
136,481.827,12.407197
137,480.019,12.3982725
138,484.83295,12.513727
139,479.98413,12.400924
140,475.39554,12.373209
141,475.49448,12.361182
142,481.8047,12.481847
143,476.0798,12.390562
144,479.0477,12.36949
145,488.76242,12.564561
146,484.55002,12.5240965
147,478.57632,12.402595
148,479.6199,12.403488
149,479.0248,12.402551
